recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
Vegan Zucchini Bread,20 mins, 1 hr 10 mins, 1 hr 30 mins,"all-purpose flour,flax seeds (Optional),ground cinnamon,salt,baking soda,baking powder,arrowroot powder (Optional),unsweetened applesauce,white sugar,packed brown sugar,vegetable oil,vanilla extract,shredded zucchini"," Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 9x5-inch loaf pans.
, Whisk flour, flax seeds, cinnamon, salt, baking soda, baking powder, and arrowroot together in a bowl until evenly blended; set aside.
, Whisk applesauce, white sugar, brown sugar, vegetable oil, and vanilla extract in a separate bowl until smooth; fold in flour mixture and shredded zucchini until moistened. Divide batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 70 minutes. Cool briefly in the pans before removing to cool completely on a wire rack.
",200,8g ,32g ,2g 
Banana Zucchini Bread Muffins,15 mins,20 mins,35 mins,"over-ripe bananas, mashed,white sugar,shredded zucchini,applesauce,eggs,packed brown sugar,vanilla extract,all-purpose flour,whole wheat flour,ground cinnamon,salt,baking soda,baking powder,oats"," Preheat the oven to 350 degrees F (175 degrees C). Line 36 muffin cups with paper liners.
, Mix together bananas, white sugar, zucchini, applesauce, eggs, brown sugar, and vanilla in a large bowl. Combine all-purpose flour, whole wheat flour, cinnamon, salt, baking soda, and baking powder in a sifter and sift over banana mixture; add oats and mix until just combined. Pour batter into the prepared muffin cups.
, Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, about 20 minutes. Cool muffins completely in the tins before removing.
",101,1g ,22g ,2g 
Caley's Classic Zucchini Bread,20 mins, 1 hr,10 mins,"eggs,white sugar,vegetable oil,vanilla extract,grated zucchini,all-purpose flour,ground cinnamon,baking soda,salt,baking powder,chopped walnuts (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 8x4-inch loaf pans.
, Beat eggs in a mixing bowl with an electric mixer until frothy. Slowly add sugar while continually beating. Stir in oil and vanilla; continue beating until mixture is thick. Stir in zucchini.
, Mix flour, cinnamon, baking soda, salt, and baking powder together in a separate bowl; pour into zucchini mixture and stir until just combined. Mix in walnuts. Divide batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center of each loaf comes out clean, about 1 hour. Cool in the pans for 10 minutes, then loosen the edges with a knife, remove the loaves, and let cool completely on a wire rack.
",294,15g ,38g ,3g 
Pineapple Coconut Zucchini Bread,25 mins,50 mins,10 mins,"all-purpose flour,baking soda,baking powder,salt,ground cinnamon,pumpkin pie spice,vegetable oil,white sugar,light brown sugar,eggs,grated unpeeled zucchini,crushed pineapple, well drained,sour cream,shredded coconut,vanilla extract"," Preheat the oven to 350 degrees F (175 degrees C). Lightly grease two 9x5-inch loaf pans.
, Stir flour, baking soda, baking powder, salt, cinnamon, and pumpkin pie spice together in a bowl until well blended.
, Whisk oil, both sugars, and eggs together in a large bowl. Stir in zucchini, drained pineapple, sour cream, coconut, and vanilla. Stir in flour mixture until just moistened. Divide batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, 50 to 60 minutes. Cool in the pans for 10 minutes, then remove and finish cooling on a wire rack.
",280,14g ,38g ,3g 
Basic Fruit Bread Recipe,10 mins,35 mins,45 mins,"all-purpose flour,baking powder,baking soda,salt,white sugar,vegetable oil,eggs,shredded apple,chopped walnuts,vanilla extract"," Preheat the oven to 350 degrees F (175 degrees C). Grease one 4 1/2-x 8 1/2-inch loaf pan.
, Mix flour, baking powder, baking soda, salt, sugar, oil, eggs, apple, walnuts, and vanilla in a large bowl until dry ingredients are just moistened. Pour batter into the prepared loaf pan.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, 35 to 40 minutes.
",391,18g ,52g ,7g 
Grandma's Best Zucchini Bread,20 mins, 1 hr 10 mins, 2 hrs,"all-purpose flour,baking powder,baking soda,ground cinnamon,ground nutmeg,ground ginger,ground black pepper,white sugar,vegetable oil,eggs, beaten,vanilla extract,shredded zucchini,dates, pitted and chopped"," Preheat the oven to 300 degrees F (150 degrees C). Grease and flour two 9x5-inch loaf pans.
, Whisk flour, baking powder, baking soda, cinnamon, nutmeg, ginger, and pepper together in a bowl until evenly combined; set aside.
, Beat sugar, oil, eggs and vanilla in a mixing bowl until smooth. Fold in flour mixture, zucchini, and dates until no dry spots remain. Divide the batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 70 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",225,10g ,32g ,3g 
Chef John's Zucchini Bread,15 mins,50 mins,35 mins,"kosher salt,grated zucchini,all-purpose flour,baking powder,baking soda,ground cinnamon,ground ginger,cayenne pepper,freshly grated nutmeg,eggs,white sugar,vanilla extract,unsalted butter, melted,chopped walnuts"," Preheat the oven to 350 degrees F (175 degrees C). Generously butter two loaf pans.
, Mix kosher salt into zucchini and let sit for 10 minutes. Transfer to a strainer and rinse very thoroughly under cold water to remove salt. Let drain for 15 to 20 minutes before using.
, Whisk flour, baking powder, baking soda, cinnamon, ginger, cayenne, and nutmeg together in a mixing bowl. Reserve until needed.
, Combine eggs, sugar, and vanilla in another large mixing bowl, and whisk until mixture is smooth and turns a pale yellow, about 1 minute. Grab a handful of the drained zucchini with both hands and squeeze out any excess water before transferring into the egg-sugar mixture. Repeat until all the zucchini has been transferred in.
, Pour in melted butter and stir until combined. Stir walnuts into the batter, followed by the flour mixture. Use a spatula to mix until the flour disappears.
, Transfer into the prepared loaf pans. Tap pans on the countertop to settle the batter.
, Bake in the center of the preheated oven until golden brown on top and a skewer poked in the center comes out clean, about 50 minutes. Let cool for 10 minutes in the pan, and then turn out on to a cooling rack. Let cool completely before serving.
",298,14g ,39g ,5g 
Zucchini Bread with Coconut,25 mins, 1 hr,10 mins,"grated zucchini,all-purpose flour,unsweetened coconut flakes,baking powder,baking soda,salt,white sugar,vegetable oil,vanilla sugar,ground cinnamon,eggs, lightly beaten"," Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan.
, Place grated zucchini in a colander in the sink. Squeeze out as much liquid with your hands as possible.
, Combine flour, coconut flakes, baking powder, baking soda, and salt in a mixing bowl.
, Beat sugar, oil, vanilla sugar, and cinnamon in a separate bowl with an electric mixer until foamy. Mix in zucchini and eggs. Pour wet ingredients into dry ingredients and stir until well combined. Pour into the prepared loaf pan.
, Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, about 1 hour.
, Remove from the oven and let cool in the pan for 10 minutes. Invert onto a wire rack and let cool completely.
",574,32g ,68g ,8g 
Chocolate Chip Orange Zucchini Bread,20 mins,50 mins, 1 hr 10 mins,"all-purpose flour,baking soda,salt,ground nutmeg,ground cinnamon,baking powder,eggs,white sugar,grated zucchini,vegetable oil,chopped walnuts,semisweet chocolate chips,orange zest,vanilla extract"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Sift flour, baking soda, salt, nutmeg, cinnamon, and baking powder together in a bowl.
, Beat eggs in a mixing bowl with an electric mixer until light and fluffy. Add sugar and beat until well blended. Stir in zucchini, oil, walnuts, chocolate chips, orange zest, and vanilla. Blend in flour mixture. Divide batter evenly between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 50 minutes. Let cool slightly before removing loaves from the pans. Chill loaves in the refrigerator before slicing.
",339,18g ,42g ,4g 
Savory Cheddar Zucchini Muffins,15 mins,30 mins,10 mins,"all-purpose flour,baking powder,baking soda,salt,butter, melted,egg, lightly beaten,milk,shredded unpeeled zucchini,garlic, minced,shredded Cheddar cheese,freshly grated Parmesan cheese,bacon, cooked crisp and crumbled"," Preheat oven to 350 degrees F (175 degrees C). Spray 12 muffin cups with cooking spray.
, Mix the flour, baking powder, baking soda, and salt in a bowl.
, In another bowl, stir together the butter, egg, milk, zucchini, and garlic until well blended. Mix the flour mixture into the milk mixture, about 1/2 cup at a time, stirring between additions, until the flour mixture is incorporated. Fold in the Cheddar cheese, Parmesan cheese, and crumbled bacon, and pour the batter into the prepared muffin cups.
, Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, 30 to 35 minutes. Allow muffins to cool slightly before removing from muffin cups; serve warm. Refrigerate leftovers.
",171,9g ,16g ,7g 
Sour Cream Zucchini Bread,15 mins, 1 hr 20 mins, 1 hr 35 mins,"sugar,vegetable oil,eggs,vanilla extract,all-purpose flour,baking soda,salt,baking powder,sour cream,shredded zucchini,chopped walnuts (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Lightly grease two 9x5-inch loaf pans.
, Beat sugar and oil in a large bowl with an electric mixer. Add eggs, one at a time, beating well after each addition. Stir in vanilla.
, Sift flour, baking soda, salt, and baking powder together into another large bowl. Blend in wet ingredients in two batches, alternating with sour cream; stir just to combine after each addition. Fold in zucchini and nuts just enough to evenly combine. Pour batter into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour 20 minutes.
",279,14g ,36g ,3g 
Pineapple Zucchini Muffins,25 mins,20 mins,40 mins,"all-purpose flour,white sugar,baking powder,baking soda,ground cinnamon,salt,vegetable oil,eggs,shredded zucchini,crushed pineapple, drained,vanilla extract"," Preheat the oven to 325 degrees F (165 degrees C). Grease and flour four 12-cup muffin pans or line with paper liners.
, Combine flour, sugar, baking powder, baking soda, cinnamon, and salt in a large bowl. Make a well in the center. Pour in oil and eggs, then add zucchini, pineapple, and vanilla. Mix until smooth. Pour batter into the prepared muffin cups, filling each 2/3 to 3/4 full.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 20 to 25 minutes.
",182,10g ,22g ,2g 
Chocolate Chip Zucchini Bread,20 mins, 1 hr,10 mins,"eggs,grated zucchini,white sugar,vegetable oil,vanilla extract,all-purpose flour,unsweetened cocoa powder,salt,baking soda,baking powder,chopped walnuts,chocolate chips"," Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 8X4-inch loaf pans.
, Beat eggs in a large bowl until light and foamy. Mix in zucchini, sugar, oil, and vanilla until thoroughly combined.
, Whisk together flour, cocoa powder, salt, baking soda, and baking powder in a separate bowl; stir into zucchini mixture. Mix in nuts and chocolate chips. Pour batter into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center of loaves comes out clean, about 1 hour. Let loaves sit in the pans for 10 minutes before removing to a wire rack to cool completely.
",379,19g ,49g ,5g 
Mom's Spiced Zucchini Bread,20 mins,50 mins, 1 hr 10 mins,"white sugar,vegetable oil,eggs,vanilla extract, or more to taste,shredded zucchini,all-purpose flour,ground cinnamon,salt,baking soda,ground nutmeg,baking powder,ground cloves,chopped walnuts (Optional),raisins (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Beat together sugar, oil, eggs, and vanilla in a large bowl until smooth. Fold in zucchini. Stir together flour, cinnamon, salt, baking soda, nutmeg, baking powder, and cloves in a separate bowl; gradually stir into sugar mixture until well combined. Fold in walnuts and raisins. Divide batter evenly into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the centers of each loaf comes out clean, about 50 minutes.
",361,17g ,49g ,5g 
Easy Chocolate Zucchini Bread ,15 mins,55 mins, 1 hr 10 mins,"all-purpose flour,unsweetened cocoa powder,ground cinnamon,baking soda,baking powder,salt,white sugar,eggs,vegetable oil,vanilla extract,shredded zucchini,chopped walnuts,semisweet chocolate chips"," Preheat the oven to 350 degrees F (175 degrees C). Lightly grease two 9x5-inch loaf pans.
, Combine flour, cocoa, cinnamon, baking soda, baking powder, and salt in large bowl; mix well. Combine sugar and eggs in a separate bowl; beat until well blended. Add oil and vanilla; beat until combined. Stir in zucchini. Add flour mixture; stir just until moistened. Stir in nuts and chocolate chips. Spoon evenly into prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 55 to 60 minutes. Cool bread in the pans for 10 minutes, then transfer to a wire rack to cool completely.
",339,18g ,42g ,5g 
